id, x, y, freq, label
469, -32.969593, -42.266235, 1, http
470, -16.744081, -56.889561, 49, edition
471, -13.684800, -57.462460, 49, trying
472, -17.124905, -55.567490, 46, including
473, -10.871225, -59.459743, 49, meant
474, 28.875437, 48.487431, 48, tion
475, 38.939568, 39.470825, 46, commission
476, 16.404856, 53.417992, 48, minorities
477, 32.161766, 46.212334, 47, publicly
478, -5.679160, -60.835716, 43, magazine
479, -2.072416, -61.488243, 48, san
480, -22.784887, -50.684948, 48, carol
481, 0.623865, -61.413754, 16, forty
482, -5.719258, -61.186127, 48, newspaper
483, 27.904274, 49.839138, 48, system
484, -13.558680, -58.147144, 48, individuals
485, -18.337002, -54.550350, 48, dancing
486, 32.674633, 44.405060, 45, fire
487, -6.767650, -61.640911, 45, neighborhood
488, -4.875225, -62.764538, 41, attorney
489, 1.678755, -62.648720, 47, close
490, 1.560416, -62.258595, 47, thing
491, -12.202732, -58.061520, 47, becoming
492, 35.816650, 41.756519, 47, medical
493, -3.421871, -61.978050, 42, leg
494, 34.861065, 43.224697, 42, pandora
495, 19.111542, 53.640934, 46, occurred
496, 1.027945, -62.228451, 45, ministry
497, -7.770798, -61.210861, 47, keep
498, 0.673003, -62.332546, 45, mass
499, -16.595919, -55.184643, 46, garden
500, -4.397462, -61.979046, 47, given
501, 28.162743, 49.381325, 47, meet
502, 36.681992, 40.000122, 4, ered
503, 35.030590, 43.120033, 46, radical
504, 38.813225, 39.529148, 46, human
505, 36.273102, 40.323605, 47, feel
506, -6.949628, -61.503601, 42, priest
507, 30.613447, 48.322945, 46, remembered
508, 1.938009, -62.433804, 46, license
509, -0.289904, 52.907005, 44, openly
510, -18.438915, -54.613235, 46, charles
511, 20.055099, 55.319527, 44, corner
512, 34.604507, 41.850063, 46, must
513, 16.060970, 54.105621, 46, looked
514, -5.590258, -62.519394, 43, paul
515, -0.551539, -62.227421, 39, run
516, 34.630718, 41.610611, 20, shelly
517, 32.056755, 45.052917, 40, francis
518, 1.700113, -62.396111, 44, west
519, 36.655106, 40.360783, 44, words
520, 36.978695, 39.798294, 44, sense
521, -4.913470, -61.735123, 43, policy
522, 36.655712, 39.735077, 45, saw
523, 31.235910, 45.496647, 45, november
524, -3.912694, -62.139519, 45, ask
525, 16.634699, 54.290035, 42, fact
526, -4.726191, -61.673801, 43, education
527, 24.479706, 52.131966, 45, leaders
528, -4.597204, -62.814350, 38, matthews
529, 33.475483, 43.919140, 45, reports
530, -10.653838, 48.951225, 43, orientation
531, 28.031908, 49.390335, 45, arrested
532, -14.057911, -57.374367, 45, control
533, -6.480473, -61.588470, 41, face
534, -2.225972, -62.599140, 44, casino
535, 36.527222, 40.170471, 42, death
