id, x, y, freq, label
614, 46.162666, 16.557196, 19, burned
615, 51.059059, 11.998217, 20, longhouses
616, 45.740768, 17.770271, 20, heart
617, 42.363819, 21.997446, 19, open
618, 49.423222, -10.741940, 18, thrush
619, 53.896378, -5.121840, 19, sea
620, -20.817558, -35.772968, 20, wealth
621, 51.592110, 12.514582, 15, half
622, 52.356480, -3.711954, 20, led
623, 36.884605, 26.208626, 20, cambridge
624, 51.723320, 4.366652, 19, springs
625, 9.877500, 51.071857, 20, geographical
626, 50.963802, -14.526423, 18, money
627, 46.939503, 13.455060, 19, nearby
628, 51.764992, -10.494728, 15, middle
629, 33.265503, 33.379189, 20, connected
630, 50.112728, -3.399136, 20, ment
631, 54.942154, -1.838961, 20, already
632, 54.171730, -1.844234, 17, working
633, 47.445660, 9.632778, 18, fraser
634, 46.134533, 9.590970, 18, railroad
635, 47.358624, 15.782407, 20, research
636, 51.305435, -10.200943, 20, received
637, 51.588078, -1.839249, 20, jim
638, 50.407906, 9.475203, 20, longhouse
639, 52.801849, 5.026880, 20, ground
640, 54.902748, -1.395894, 20, get
641, 53.561829, 6.627346, 21, waters
642, 54.552689, 4.063149, 20, moved
643, 40.554150, 27.248432, 19, possible
644, 47.078964, 14.928097, 19, big
645, 49.143627, 5.212710, 20, written
646, 51.399681, -0.707955, 19, aype
647, 54.041126, -7.590714, 20, shore
648, 50.429417, -14.175407, 18, fine
649, 49.090019, 10.084854, 19, woven
650, 53.010544, -3.347642, 19, friends
651, 46.155323, 8.359495, 19, michael
652, 49.571007, 10.430414, 19, seems
653, 54.121212, 4.709079, 19, show
654, 47.149948, 18.373520, 18, common
655, -9.558657, 41.258366, 19, april
656, 46.804188, -5.543274, 19, joseph
657, 53.700474, -3.426279, 18, conflict
658, 41.327797, 25.767105, 19, larger
659, 52.032520, 10.854561, 18, existed
660, 6.035282, 49.354427, 19, emily
661, 45.385792, 10.900405, 18, terry
662, 46.932678, 19.922606, 15, shape
663, 45.281940, 15.513309, 19, archives
664, 36.505768, 23.569284, 19, comes
665, 40.299583, 17.221210, 19, behind
666, 52.178432, -1.763712, 19, going
667, 52.058617, -5.082996, 19, san
668, 30.257816, 35.105446, 18, return
669, 52.670990, -7.555373, 19, economy
670, 53.015472, -8.123998, 18, laws
671, 45.907127, -14.554626, 19, mr
672, 48.842781, 8.943060, 19, appeared
673, -0.987813, 48.841194, 19, uw
674, 41.540524, -19.248682, 7, glover
675, 53.883533, 3.071472, 19, turn
676, 41.998199, 25.128832, 18, build
677, 47.134689, -3.907384, 18, daniel
678, 53.025169, 2.825925, 16, boston
679, 45.995464, 10.570142, 18, davis
680, 52.079372, 11.271734, 18, experiences
681, 53.031631, 8.037189, 17, preservation
682, 54.038296, -1.856793, 18, hundreds
683, 51.672955, 9.339334, 15, term
684, 53.036572, 3.390838, 18, either
685, 47.479424, -6.412517, 18, frye
686, 45.368839, 11.671941, 18, discovery
687, -0.800549, 9.016083, 18, vol
688, 33.622189, 30.055374, 14, hwelchteed
689, 39.729893, 27.212858, 15, chesheeahud
690, 48.954193, 6.307106, 13, single
691, 33.253815, 32.602623, 18, arrival
692, 52.829693, 6.093285, 18, politics
693, 49.469734, 3.876020, 18, popular
694, 44.456512, 22.200575, 17, east
695, 50.643894, -16.716894, 18, offered
696, 52.977432, 10.400686, 18, involved
697, 13.959050, 37.031193, 18, nara
698, 49.267456, 7.666022, 17, age
699, 47.445522, 11.763924, 18, question
700, 28.971844, 31.389317, 21, informants
701, 46.933464, -4.033936, 18, hanford
